 Stg  TypeStg      Time/Vol   TotReturnSI     LayerSI01     LayerSI02     LayerSI03      WellSI01      WellSI02      WellSI03        Wprd01        Wprd02        Wprd03        Temp01        Temp02        Temp03
   2        2        0.4667        0.0000        2.2515        3.4041        1.0780        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4708        0.0000        2.2508        3.4032        1.0777        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4750        0.0000        2.2502        3.4024        1.0773        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4792        0.0000        2.2495        3.4015        1.0770        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4833        0.0000        2.2489        3.4006        1.0766        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4875        0.0000        2.2483        3.3997        1.0763        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4917        0.0000        2.2476        3.3989        1.0759        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.4958        0.0000        2.2470        3.3980        1.0756        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5000        0.0000        2.2463        3.3971        1.0752        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5042        0.0000        2.2457        3.3962        1.0749        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5083        0.0000        2.2450        3.3954        1.0745        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5125        0.0000        2.2444        3.3945        1.0742        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5167        0.0000        2.2437        3.3936        1.0738        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
   2        2        0.5208        0.0000        2.2431        3.3928        1.0735        0.0000        0.0000        0.0000        0.1639        0.2131        1.0000        0.0000        0.0000        0.0000
